日期,时间段,充电量,放电量,时刻,储电量
2025-02-01 00:00:00,0:00-4:00,,,00:00:00,
,4:00-8:00,,,24:00,
,8:00-12:00,,,,
,12:00-16:00,,,,
,16:00-20:00,,,,
,20:00-24:00,,,,
2025-02-02 00:00:00,0:00-4:00,,,00:00:00,
,4:00-8:00,,,24:00,
,8:00-12:00,,,,
,12:00-16:00,,,,
,16:00-20:00,,,,
,20:00-24:00,,,,
2025-03-20 00:00:00,0:00-4:00,,,00:00:00,
,4:00-8:00,,,24:00,
,8:00-12:00,,,,
,12:00-16:00,,,,
,16:00-20:00,,,,
,20:00-24:00,,,,
⁝,⁝,⁝,⁝,⁝,⁝
2025-12-31 00:00:00,0:00-4:00,,,00:00:00,
,4:00-8:00,,,24:00,
,8:00-12:00,,,,
,12:00-16:00,,,,
,16:00-20:00,,,,
,20:00-24:00,,,,
