issue_date,issue_time,issue_timestamp,target_timestamp,lead_minutes,pv_forecast_kw,anchor_pv_actual_kw
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 00:10:00,10,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 00:20:00,20,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 00:30:00,30,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 00:40:00,40,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 00:50:00,50,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 01:00:00,60,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 01:10:00,70,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 01:20:00,80,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 01:30:00,90,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 01:40:00,100,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 01:50:00,110,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 02:00:00,120,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 02:10:00,130,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 02:20:00,140,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 02:30:00,150,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 02:40:00,160,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 02:50:00,170,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 03:00:00,180,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 03:10:00,190,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 03:20:00,200,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 03:30:00,210,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 03:40:00,220,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 03:50:00,230,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 04:00:00,240,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 04:10:00,250,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 04:20:00,260,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 04:30:00,270,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 04:40:00,280,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 04:50:00,290,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 05:00:00,300,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 05:10:00,310,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 05:20:00,320,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 05:30:00,330,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 05:40:00,340,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 05:50:00,350,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 06:00:00,360,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 06:10:00,370,0.51955,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 06:20:00,380,1.0391,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 06:30:00,390,1.55865,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 06:40:00,400,2.0782,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 06:50:00,410,2.59775,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 07:00:00,420,3.1173,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 07:10:00,430,269.8195,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 07:20:00,440,536.5217,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 07:30:00,450,803.2239,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 07:40:00,460,1069.9261,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 07:50:00,470,1336.6283,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 08:00:00,480,1603.3305,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 08:10:00,490,1904.2909,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 08:20:00,500,2205.2513,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 08:30:00,510,2506.2117,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 08:40:00,520,2807.1721,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 08:50:00,530,3108.1325,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 09:00:00,540,3409.0929,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 09:10:00,550,3652.792,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 09:20:00,560,3896.4911,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 09:30:00,570,4140.1902,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 09:40:00,580,4383.8893,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 09:50:00,590,4627.5884,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 10:00:00,600,4871.2875,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 10:10:00,610,5023.591417,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 10:20:00,620,5175.895333,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 10:30:00,630,5328.19925,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 10:40:00,640,5480.503167,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 10:50:00,650,5632.807083,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 11:00:00,660,5785.111,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 11:10:00,670,5777.121117,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 11:20:00,680,5769.131233,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 11:30:00,690,5761.14135,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 11:40:00,700,5753.151467,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 11:50:00,710,5745.161583,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 12:00:00,720,5737.1717,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 12:10:00,730,5788.875817,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 12:20:00,740,5840.579933,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 12:30:00,750,5892.28405,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 12:40:00,760,5943.988167,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 12:50:00,770,5995.692283,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 13:00:00,780,6047.3964,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 13:10:00,790,5820.683083,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 13:20:00,800,5593.969767,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 13:30:00,810,5367.25645,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 13:40:00,820,5140.543133,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 13:50:00,830,4913.829817,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 14:00:00,840,4687.1165,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 14:10:00,850,4501.372567,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 14:20:00,860,4315.628633,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 14:30:00,870,4129.8847,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 14:40:00,880,3944.140767,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 14:50:00,890,3758.396833,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 15:00:00,900,3572.6529,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 15:10:00,910,3248.876817,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 15:20:00,920,2925.100733,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 15:30:00,930,2601.32465,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 15:40:00,940,2277.548567,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 15:50:00,950,1953.772483,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 16:00:00,960,1629.9964,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 16:10:00,970,1358.862933,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 16:20:00,980,1087.729467,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 16:30:00,990,816.596,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 16:40:00,1000,545.4625333,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 16:50:00,1010,274.3290667,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 17:00:00,1020,3.1956,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 17:10:00,1030,2.663,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 17:20:00,1040,2.1304,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 17:30:00,1050,1.5978,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 17:40:00,1060,1.0652,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 17:50:00,1070,0.5326,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 18:00:00,1080,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 18:10:00,1090,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 18:20:00,1100,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 18:30:00,1110,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 18:40:00,1120,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 18:50:00,1130,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 19:00:00,1140,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 19:10:00,1150,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 19:20:00,1160,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 19:30:00,1170,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 19:40:00,1180,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 19:50:00,1190,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 20:00:00,1200,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 20:10:00,1210,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 20:20:00,1220,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 20:30:00,1230,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 20:40:00,1240,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 20:50:00,1250,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 21:00:00,1260,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 21:10:00,1270,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 21:20:00,1280,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 21:30:00,1290,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 21:40:00,1300,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 21:50:00,1310,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 22:00:00,1320,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 22:10:00,1330,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 22:20:00,1340,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 22:30:00,1350,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 22:40:00,1360,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 22:50:00,1370,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 23:00:00,1380,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 23:10:00,1390,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 23:20:00,1400,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 23:30:00,1410,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 23:40:00,1420,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-01 23:50:00,1430,0,0
2025-01-01,00:00,2025-01-01 00:00:00,2025-01-02 00:00:00,1440,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 06:10:00,10,0.5153166667,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 06:20:00,20,1.030633333,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 06:30:00,30,1.54595,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 06:40:00,40,2.061266667,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 06:50:00,50,2.576583333,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 07:00:00,60,3.0919,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 07:10:00,70,267.3739,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 07:20:00,80,531.6559,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 07:30:00,90,795.9379,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 07:40:00,100,1060.2199,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 07:50:00,110,1324.5019,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 08:00:00,120,1588.7839,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 08:10:00,130,1873.651467,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 08:20:00,140,2158.519033,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 08:30:00,150,2443.3866,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 08:40:00,160,2728.254167,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 08:50:00,170,3013.121733,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 09:00:00,180,3297.9893,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 09:10:00,190,3530.362317,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 09:20:00,200,3762.735333,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 09:30:00,210,3995.10835,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 09:40:00,220,4227.481367,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 09:50:00,230,4459.854383,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 10:00:00,240,4692.2274,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 10:10:00,250,4780.2544,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 10:20:00,260,4868.2814,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 10:30:00,270,4956.3084,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 10:40:00,280,5044.3354,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 10:50:00,290,5132.3624,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 11:00:00,300,5220.3894,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 11:10:00,310,5196.774367,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 11:20:00,320,5173.159333,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 11:30:00,330,5149.5443,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 11:40:00,340,5125.929267,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 11:50:00,350,5102.314233,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 12:00:00,360,5078.6992,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 12:10:00,370,5117.949383,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 12:20:00,380,5157.199567,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 12:30:00,390,5196.44975,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 12:40:00,400,5235.699933,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 12:50:00,410,5274.950117,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 13:00:00,420,5314.2003,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 13:10:00,430,5234.119283,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 13:20:00,440,5154.038267,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 13:30:00,450,5073.95725,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 13:40:00,460,4993.876233,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 13:50:00,470,4913.795217,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 14:00:00,480,4833.7142,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 14:10:00,490,4626.101417,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 14:20:00,500,4418.488633,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 14:30:00,510,4210.87585,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 14:40:00,520,4003.263067,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 14:50:00,530,3795.650283,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 15:00:00,540,3588.0375,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 15:10:00,550,3266.704067,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 15:20:00,560,2945.370633,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 15:30:00,570,2624.0372,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 15:40:00,580,2302.703767,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 15:50:00,590,1981.370333,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 16:00:00,600,1660.0369,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 16:10:00,610,1383.870067,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 16:20:00,620,1107.703233,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 16:30:00,630,831.5364,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 16:40:00,640,555.3695667,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 16:50:00,650,279.2027333,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 17:00:00,660,3.0359,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 17:10:00,670,2.529916667,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 17:20:00,680,2.023933333,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 17:30:00,690,1.51795,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 17:40:00,700,1.011966667,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 17:50:00,710,0.5059833333,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 18:00:00,720,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 18:10:00,730,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 18:20:00,740,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 18:30:00,750,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 18:40:00,760,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 18:50:00,770,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 19:00:00,780,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 19:10:00,790,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 19:20:00,800,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 19:30:00,810,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 19:40:00,820,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 19:50:00,830,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 20:00:00,840,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 20:10:00,850,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 20:20:00,860,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 20:30:00,870,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 20:40:00,880,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 20:50:00,890,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 21:00:00,900,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 21:10:00,910,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 21:20:00,920,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 21:30:00,930,0,0
2025-01-01,06:00,2025-01-01 06:00:00,2025-01-01 21:40:00,940,0,0
