operating_date,interval_index,interval_start,interval_end,duration_hours,load_kw,pv_actual_kw,electricity_price_yuan_per_kwh,load_energy_kwh,pv_actual_energy_kwh
2025-01-01,1,2025-01-01 00:00:00,2025-01-01 00:10:00,0.1666666667,3529.7296,0,0.4527,588.2882667,0
2025-01-01,2,2025-01-01 00:10:00,2025-01-01 00:20:00,0.1666666667,3609.5287,0,0.4733,601.5881167,0
2025-01-01,3,2025-01-01 00:20:00,2025-01-01 00:30:00,0.1666666667,3726.56,0,0.4843,621.0933333,0
2025-01-01,4,2025-01-01 00:30:00,2025-01-01 00:40:00,0.1666666667,3510.6311,0,0.4541,585.1051833,0
2025-01-01,5,2025-01-01 00:40:00,2025-01-01 00:50:00,0.1666666667,3502.5625,0,0.4266,583.7604167,0
2025-01-01,6,2025-01-01 00:50:00,2025-01-01 01:00:00,0.1666666667,3787.01,0,0.4311,631.1683333,0
2025-01-01,7,2025-01-01 01:00:00,2025-01-01 01:10:00,0.1666666667,3900.3205,0,0.4544,650.0534167,0
2025-01-01,8,2025-01-01 01:10:00,2025-01-01 01:20:00,0.1666666667,3916.8376,0,0.4483,652.8062667,0
2025-01-01,9,2025-01-01 01:20:00,2025-01-01 01:30:00,0.1666666667,3817.28,0,0.4251,636.2133333,0
2025-01-01,10,2025-01-01 01:30:00,2025-01-01 01:40:00,0.1666666667,3533.0136,0,0.444,588.8356,0
2025-01-01,11,2025-01-01 01:40:00,2025-01-01 01:50:00,0.1666666667,3694.6613,0,0.478,615.7768833,0
2025-01-01,12,2025-01-01 01:50:00,2025-01-01 02:00:00,0.1666666667,4064.73,0,0.4941,677.455,0
2025-01-01,13,2025-01-01 02:00:00,2025-01-01 02:10:00,0.1666666667,3810.671,0,0.484,635.1118333,0
2025-01-01,14,2025-01-01 02:10:00,2025-01-01 02:20:00,0.1666666667,3844.9495,0,0.4751,640.8249167,0
2025-01-01,15,2025-01-01 02:20:00,2025-01-01 02:30:00,0.1666666667,4234.62,0,0.488,705.77,0
2025-01-01,16,2025-01-01 02:30:00,2025-01-01 02:40:00,0.1666666667,4109.9755,0,0.5215,684.9959167,0
