interval_index,interval_start,interval_end,interval_start_minute,interval_end_minute,duration_hours,electricity_price_yuan_per_kwh,load_kw,pv_forecast_kw,load_energy_kwh,pv_forecast_energy_kwh
1,00:00,00:10,0,10,0.1666666667,0.4248,3439.8466,0,573.3077667,0
2,00:10,00:20,10,20,0.1666666667,0.4245,3437.9792,0,572.9965333,0
3,00:20,00:30,20,30,0.1666666667,0.4269,3444.3031,0,574.0505167,0
4,00:30,00:40,30,40,0.1666666667,0.4272,3454.4437,0,575.7406167,0
5,00:40,00:50,40,50,0.1666666667,0.4271,3458.8273,0,576.4712167,0
6,00:50,01:00,50,60,0.1666666667,0.4285,3459.8401,0,576.6400167,0
7,01:00,01:10,60,70,0.1666666667,0.4311,3467.1582,0,577.8597,0
8,01:10,01:20,70,80,0.1666666667,0.4302,3467.9632,0,577.9938667,0
9,01:20,01:30,80,90,0.1666666667,0.4279,3466.9683,0,577.82805,0
10,01:30,01:40,90,100,0.1666666667,0.4312,3482.4927,0,580.41545,0
11,01:40,01:50,100,110,0.1666666667,0.4333,3495.0841,0,582.5140167,0
12,01:50,02:00,110,120,0.1666666667,0.4311,3498.4443,0,583.07405,0
13,02:00,02:10,120,130,0.1666666667,0.4293,3505.2295,0,584.2049167,0
14,02:10,02:20,130,140,0.1666666667,0.4324,3512.6387,0,585.4397833,0
15,02:20,02:30,140,150,0.1666666667,0.4367,3516.8685,0,586.14475,0
16,02:30,02:40,150,160,0.1666666667,0.4348,3517.9246,0,586.3207667,0
17,02:40,02:50,160,170,0.1666666667,0.4335,3518.5518,0,586.4253,0
18,02:50,03:00,170,180,0.1666666667,0.4357,3521.0976,0,586.8496,0
19,03:00,03:10,180,190,0.1666666667,0.4374,3526.9261,0,587.8210167,0
20,03:10,03:20,190,200,0.1666666667,0.4371,3537.2854,0,589.5475667,0
21,03:20,03:30,200,210,0.1666666667,0.4356,3544.8808,0,590.8134667,0
22,03:30,03:40,210,220,0.1666666667,0.4353,3541.2787,0,590.2131167,0
23,03:40,03:50,220,230,0.1666666667,0.436,3546.3976,0,591.0662667,0
24,03:50,04:00,230,240,0.1666666667,0.4378,3560.207,0,593.3678333,0
25,04:00,04:10,240,250,0.1666666667,0.4401,3561.9581,0,593.6596833,0
26,04:10,04:20,250,260,0.1666666667,0.4389,3556.7183,0,592.7863833,0
27,04:20,04:30,260,270,0.1666666667,0.4364,3560.0272,0,593.3378667,0
