date,plan_energy_kwh,used_plan_energy_kwh,emergency_energy_kwh,charge_energy_kwh,discharge_energy_kwh,curtail_energy_kwh,storage_start_kwh,storage_end_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,forecast_mae_kwh,max_balance_residual_kwh,gate_count
2025-02-01,99873.867818,51272.373781,0.000000,12523.202595,5823.794102,10194.789355,6000.000000,10800.000000,64336.675694,0.000000,0.000000,64336.675694,166.123970,0.000000,0
2025-02-02,99848.496891,82334.298838,0.000000,19975.682376,16180.302724,182.641233,10800.000000,10800.000000,64373.569113,0.000000,0.000000,64373.569113,70.510323,0.000000,0
2025-02-03,99644.307633,83995.866973,0.000000,19889.213026,16110.262551,0.000000,10800.000000,10800.000000,64224.150095,0.000000,0.000000,64224.150095,50.543032,0.000000,0
2025-02-04,99462.410865,85298.494610,0.000000,21046.371744,17047.561113,104.820028,10800.000000,10800.000000,64090.590902,0.000000,0.000000,64090.590902,44.847341,0.000000,0
2025-02-05,99280.275156,84725.455476,0.000000,20843.438033,16883.184807,16.775267,10800.000000,10800.000000,63960.455653,0.000000,0.000000,63960.455653,49.592270,0.000000,0
2025-02-06,99149.719649,84169.118354,0.000000,20508.738539,16612.078217,1.400817,10800.000000,10800.000000,63849.927298,0.000000,0.000000,63849.927298,55.259373,0.000000,0
2025-02-07,98942.541401,45368.855200,0.000000,7811.549256,6327.354897,12078.981174,10800.000000,10800.000000,63708.083949,0.000000,0.000000,63708.083949,176.730845,0.000000,0
2025-02-08,98959.897823,44159.626372,0.000000,6902.822825,5591.286488,11270.927319,10800.000000,10800.000000,63720.632655,0.000000,0.000000,63720.632655,173.214194,0.000000,0
2025-02-09,98960.531315,83454.623585,0.000000,20337.906316,16473.704116,35.005417,10800.000000,10800.000000,63722.442866,0.000000,0.000000,63722.442866,52.440817,0.000000,0
2025-02-10,98808.007130,78859.013806,0.000000,18590.347317,15058.181327,1000.210233,10800.000000,10800.000000,63605.606561,0.000000,0.000000,63605.606561,79.989067,0.000000,0
2025-02-11,98666.676926,79447.157310,0.000000,19339.213306,15664.762778,552.109649,10800.000000,10800.000000,63496.407535,0.000000,0.000000,63496.407535,72.001802,0.000000,0
2025-02-12,98515.878149,79667.955431,0.000000,19183.962703,15539.009790,756.266384,10800.000000,10800.000000,63384.874344,0.000000,0.000000,63384.874344,76.086111,0.000000,0
2025-02-13,98377.296413,75946.545049,0.000000,17365.970263,14066.435913,1317.531683,10800.000000,10800.000000,63284.518484,0.000000,0.000000,63284.518484,105.192464,0.000000,0
2025-02-14,98232.468159,43679.787417,0.000000,6646.434645,5383.612063,12615.163018,10800.000000,10800.000000,63178.823926,0.000000,0.000000,63178.823926,178.801588,0.000000,0
2025-02-15,98226.381460,43843.481710,0.000000,6613.311975,5356.782699,13306.861336,10800.000000,10800.000000,63180.885658,0.000000,0.000000,63180.885658,174.208992,0.000000,0
2025-02-16,98209.760686,79307.447827,0.000000,18623.171190,15084.768664,391.666201,10800.000000,10800.000000,63175.082987,0.000000,0.000000,63175.082987,68.548715,0.000000,0
2025-02-17,98054.759877,75798.251272,0.000000,16990.711079,13762.475974,1386.152999,10800.000000,10800.000000,63063.107027,0.000000,0.000000,63063.107027,89.359861,0.000000,0
2025-02-18,97902.375017,76414.055062,0.000000,17622.244537,14274.018075,974.440818,10800.000000,10800.000000,62953.629978,0.000000,0.000000,62953.629978,79.480707,0.000000,0
2025-02-19,97747.281216,77650.359034,0.000000,18506.226413,14990.043394,1254.848633,10800.000000,10800.000000,62841.307468,0.000000,0.000000,62841.307468,84.572279,0.000000,0
2025-02-20,97618.355180,75662.997686,0.000000,17165.129654,13903.755020,1408.489317,10800.000000,10800.000000,62748.840055,0.000000,0.000000,62748.840055,95.996619,0.000000,0
2025-02-21,97492.165804,42637.226647,0.000000,6372.204943,5161.486004,15866.245675,10800.000000,10800.000000,62661.869577,0.000000,0.000000,62661.869577,196.550233,0.000000,0
2025-02-22,97510.048114,42833.808789,0.000000,6566.059387,5318.508103,13741.494621,10800.000000,10800.000000,62678.205285,0.000000,0.000000,62678.205285,169.654387,0.000000,0
2025-02-23,97503.526734,75687.821158,0.000000,17444.374965,14129.943721,841.536233,10800.000000,10800.000000,62675.594588,0.000000,0.000000,62675.594588,84.838131,0.000000,0
2025-02-24,97392.545144,73860.094710,0.000000,16422.632602,13302.332407,2536.760900,10800.000000,10800.000000,62591.821475,0.000000,0.000000,62591.821475,96.276499,0.000000,0
2025-02-25,97287.190085,72362.831583,0.000000,15531.491842,12580.508392,3590.524901,10800.000000,10800.000000,62513.907602,0.000000,0.000000,62513.907602,111.230354,0.000000,0
2025-02-26,97187.615957,73898.786784,0.000000,16248.661505,13161.415819,1996.693066,10800.000000,10800.000000,62436.367212,0.000000,0.000000,62436.367212,93.674784,0.000000,0
2025-02-27,96688.942736,73151.533630,0.000000,17335.722648,14041.935345,2901.162128,10800.000000,10800.000000,62076.208583,0.000000,0.000000,62076.208583,107.129794,0.000000,0
2025-02-28,96204.159863,41699.935709,0.000000,6513.079695,5275.594553,17169.857019,10800.000000,10800.000000,61719.420392,0.000000,0.000000,61719.420392,196.611228,0.000000,0
2025-03-01,96296.006869,40533.529252,0.000000,6528.654717,5288.210320,15634.318922,10800.000000,10800.000000,61791.030841,0.000000,0.000000,61791.030841,184.225590,0.000000,0
2025-03-02,96379.225860,75865.365383,0.000000,18101.511497,14662.224313,67.771134,10800.000000,10800.000000,61853.942907,0.000000,0.000000,61853.942907,69.972931,0.000000,0
2025-03-03,95894.399052,76486.961341,0.000000,18644.421109,15101.981099,927.374699,10800.000000,10800.000000,61476.980540,0.000000,0.000000,61476.980540,56.934845,0.000000,0
2025-03-04,95314.454190,73885.861000,0.000000,17290.861041,14005.597443,1401.139468,10800.000000,10800.000000,61035.698950,0.000000,0.000000,61035.698950,73.995222,0.000000,0
2025-03-05,94736.179534,70822.150922,0.000000,16181.016422,13106.623301,1617.285784,10800.000000,10800.000000,60604.658271,0.000000,0.000000,60604.658271,89.814563,0.000000,0
2025-03-06,94098.586217,70970.961213,0.000000,15919.042272,12894.424240,2005.689049,10800.000000,10800.000000,60109.068387,0.000000,0.000000,60109.068387,92.610981,0.000000,0
2025-03-07,93331.843153,39335.969144,0.000000,6282.869179,5089.124035,17219.938467,10800.000000,10800.000000,59515.343631,0.000000,0.000000,59515.343631,189.692869,0.000000,0
2025-03-08,93426.476870,39686.095162,0.000000,6369.376293,5159.194798,19412.774151,10800.000000,10800.000000,59586.660702,0.000000,0.000000,59586.660702,196.473450,0.000000,0
2025-03-09,93524.911250,69840.694852,0.000000,15835.653189,12826.879083,3498.395696,10800.000000,10800.000000,59663.030304,0.000000,0.000000,59663.030304,102.606580,0.000000,0
2025-03-10,92878.412496,71785.127978,0.000000,16607.047171,13451.708208,587.717565,10800.000000,10800.000000,59161.630142,0.000000,0.000000,59161.630142,66.126386,0.000000,0
2025-03-11,92105.881302,69385.487135,0.000000,15089.373798,12222.392776,2579.587314,10800.000000,10800.000000,58588.353585,0.000000,0.000000,58588.353585,85.923753,0.000000,0
2025-03-12,91422.037965,68755.071820,0.000000,14915.819412,12081.813724,3485.531451,10800.000000,10800.000000,58064.915573,0.000000,0.000000,58064.915573,94.564672,0.000000,0
2025-03-13,90614.704389,71372.115434,0.000000,16724.592117,13546.919615,648.824917,10800.000000,10800.000000,57435.245531,0.000000,0.000000,57435.245531,64.379301,0.000000,0
2025-03-14,89791.232858,38696.973493,0.000000,6696.512505,5424.175129,21395.210134,10800.000000,10800.000000,56851.806171,0.000000,0.000000,56851.806171,200.403296,0.000000,0
2025-03-15,89896.074726,39485.824603,0.000000,6727.311247,5449.122110,17283.510318,10800.000000,10800.000000,56929.818283,0.000000,0.000000,56929.818283,164.460288,0.000000,0
2025-03-16,89969.346060,68287.206768,0.000000,14953.456735,12112.299955,2095.003056,10800.000000,10800.000000,56987.404476,0.000000,0.000000,56987.404476,82.854764,0.000000,0
2025-03-17,89251.755487,65300.346330,0.000000,13738.856293,11128.473597,4831.832201,10800.000000,10800.000000,56453.780258,0.000000,0.000000,56453.780258,108.285407,0.000000,0
2025-03-18,88327.750110,67607.971888,0.000000,16280.695389,13187.363265,3388.681401,10800.000000,10800.000000,55789.521949,0.000000,0.000000,55789.521949,80.190445,0.000000,0
2025-03-19,87584.963958,66697.455876,0.000000,16400.085129,13284.068955,4115.969254,10800.000000,10800.000000,55183.917863,0.000000,0.000000,55183.917863,88.459986,0.000000,0
2025-03-20,86831.650238,68147.745111,0.000000,16497.072557,13362.628771,2804.339505,10800.000000,10800.000000,54629.488236,0.000000,0.000000,54629.488236,68.214393,0.000000,0
2025-03-21,85877.815422,38380.168025,0.000000,7427.463550,6016.245476,24935.485432,10800.000000,10800.000000,53939.696941,0.000000,0.000000,53939.696941,203.579005,0.000000,0
