date,interval_index,interval_start,interval_end,price_yuan_per_kwh,actual_net_load_kwh,forecast_center_kwh,forecast_risk_kwh,original_plan_kwh,accepted_plan_kwh,used_plan_kwh,emergency_kwh,charge_kwh,discharge_kwh,curtail_kwh,storage_kwh
2025-02-01,1,00:00,00:10,0.424800,422.030367,499.958491,628.132214,1461.465547,1461.465547,1255.363700,0.000000,833.333333,0.000000,0.000000,6750.000000
2025-02-01,2,00:10,00:20,0.424500,415.407317,504.514384,630.001446,1463.334779,1463.334779,1248.740650,0.000000,833.333333,0.000000,0.000000,7500.000000
2025-02-01,3,00:20,00:30,0.426900,410.716667,509.994250,631.733272,1465.066605,1465.066605,1244.050000,0.000000,833.333333,0.000000,0.000000,8250.000000
2025-02-01,4,00:30,00:40,0.427200,430.294800,505.856670,631.193481,1464.526814,1464.526814,1263.628133,0.000000,833.333333,0.000000,0.000000,9000.000000
2025-02-01,5,00:40,00:50,0.427100,424.410583,510.958430,639.112380,1472.445713,1472.445713,1257.743917,0.000000,833.333333,0.000000,0.000000,9750.000000
2025-02-01,6,00:50,01:00,0.428500,406.051667,518.118750,649.670907,649.670907,649.670907,649.670907,0.000000,243.619241,0.000000,0.000000,9969.257317
2025-02-01,7,01:00,01:10,0.431100,436.750183,535.724345,661.757468,661.757468,661.757468,661.757468,0.000000,225.007285,0.000000,0.000000,10171.763873
2025-02-01,8,01:10,01:20,0.430200,451.797683,541.084620,664.210672,664.210672,664.210672,664.210672,0.000000,212.412989,0.000000,0.000000,10362.935563
2025-02-01,9,01:20,01:30,0.427900,446.080000,522.841167,658.482727,991.816060,991.816060,931.707152,0.000000,485.627152,0.000000,0.000000,10800.000000
2025-02-01,10,01:30,01:40,0.431200,471.766333,536.647667,660.671035,660.671035,660.671035,471.766333,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,11,01:40,01:50,0.433300,448.025967,546.125622,662.011309,662.011309,662.011309,448.025967,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,12,01:50,02:00,0.431100,397.403333,546.435292,678.747686,678.747686,678.747686,397.403333,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,13,02:00,02:10,0.429300,434.090633,547.551820,680.660878,680.660878,680.660878,434.090633,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,14,02:10,02:20,0.432400,490.560917,554.583945,687.296697,687.296697,687.296697,490.560917,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,15,02:20,02:30,0.436700,503.220000,557.726375,688.751154,688.751154,688.751154,503.220000,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,16,02:30,02:40,0.434800,474.072817,557.924173,683.558999,683.558999,683.558999,474.072817,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,17,02:40,02:50,0.433500,461.384400,560.110842,689.030642,689.030642,689.030642,461.384400,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,18,02:50,03:00,0.435700,476.941667,568.223792,701.929253,701.929253,701.929253,476.941667,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,19,03:00,03:10,0.437400,483.399550,568.414272,689.045449,689.045449,689.045449,483.399550,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,20,03:10,03:20,0.437100,486.601917,573.967917,696.622040,696.622040,696.622040,486.601917,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,21,03:20,03:30,0.435600,498.848333,577.904375,716.464990,716.464990,716.464990,498.848333,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,22,03:30,03:40,0.435300,518.309733,568.267633,699.757929,699.757929,699.757929,518.309733,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,23,03:40,03:50,0.436000,509.133467,573.345364,702.148320,702.148320,702.148320,509.133467,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,24,03:50,04:00,0.437800,483.616667,589.569000,721.766581,721.766581,721.766581,483.616667,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,25,04:00,04:10,0.440100,491.186800,586.483335,716.687003,716.687003,716.687003,491.186800,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,26,04:10,04:20,0.438900,504.645283,577.353978,718.080682,718.080682,718.080682,504.645283,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,27,04:20,04:30,0.436400,505.578333,585.197667,722.556058,722.556058,722.556058,505.578333,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,28,04:30,04:40,0.439300,503.230967,594.691684,721.579881,721.579881,721.579881,503.230967,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,29,04:40,04:50,0.442200,502.846750,595.972592,724.795220,724.795220,724.795220,502.846750,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,30,04:50,05:00,0.439500,499.641667,601.231417,726.252669,726.252669,726.252669,499.641667,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,31,05:00,05:10,0.433300,488.783583,603.145129,729.980890,729.980890,729.980890,488.783583,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,32,05:10,05:20,0.443900,498.515433,611.851149,740.425759,740.425759,740.425759,498.515433,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,33,05:20,05:30,0.430100,529.223333,605.826375,737.109655,737.109655,737.109655,529.223333,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,34,05:30,05:40,0.371300,547.410317,606.613083,708.854434,1542.187768,1542.187768,547.410317,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,35,05:40,05:50,0.570800,531.181167,626.541068,799.143817,799.143817,799.143817,531.181167,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,36,05:50,06:00,0.909900,510.983333,668.472958,942.199928,942.199928,942.199928,510.983333,0.000000,0.000000,0.000000,0.000000,10800.000000
2025-02-01,37,06:00,06:10,0.936800,535.187183,679.271350,950.553525,275.553525,275.553525,275.553525,0.000000,0.000000,259.633659,0.000000,10511.518157
2025-02-01,38,06:10,06:20,0.875800,533.355333,675.541565,928.993579,928.993579,928.993579,853.890714,0.000000,320.535381,0.000000,0.000000,10800.000000
2025-02-01,39,06:20,06:30,0.875900,504.520000,671.398167,950.351155,950.351155,950.351155,504.520000,0.000000,0.000000,0.000000,0.000000,10800.000000
