date,plan_energy_kwh,accepted_plan_energy_kwh,used_plan_energy_kwh,emergency_energy_kwh,charge_energy_kwh,discharge_energy_kwh,curtail_energy_kwh,storage_start_kwh,storage_end_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,forecast_mae_kwh,max_balance_residual_kwh,gate_count
2025-02-01,67753.268221,67753.268221,48507.463551,0.000000,18104.174575,10869.593265,6894.706308,6000.000000,10216.431268,39284.880881,0.000000,0.000000,39284.880881,142.309323,0.000000,0
2025-02-02,97705.198206,97705.198206,83070.433108,0.000000,21293.899013,16722.846341,143.102483,10216.431268,10800.000000,62405.233635,0.000000,0.000000,62405.233635,43.343726,0.000000,0
2025-02-03,100090.533198,100090.533198,84097.178890,0.000000,20422.433645,16542.171252,0.000000,10800.000000,10800.000000,64032.355381,0.000000,0.000000,64032.355381,48.918299,0.000000,0
2025-02-04,102211.881370,102211.881370,85230.210273,0.000000,20900.042749,16929.034627,64.338200,10800.000000,10800.000000,65954.990476,0.000000,0.000000,65954.990476,55.693697,0.000000,0
2025-02-05,97223.903256,97223.903256,84838.286068,0.000000,21514.771505,17426.964919,2.052500,10800.000000,10800.000000,62280.050053,0.000000,0.000000,62280.050053,32.343175,0.000000,0
2025-02-06,102989.263079,102989.263079,84133.433321,0.000000,20320.922577,16459.947287,1.400817,10800.000000,10800.000000,66344.397119,0.000000,0.000000,66344.397119,66.983675,0.000000,0
2025-02-07,68860.763827,68860.763827,43906.797699,0.000000,13325.153503,10793.374338,9569.338866,10800.000000,10800.000000,39945.671738,0.000000,0.000000,39945.671738,168.168034,0.000000,0
2025-02-08,60824.462641,60824.462641,41410.462159,0.000000,13580.478000,11000.187180,7253.008622,10800.000000,10800.000000,34607.420498,0.000000,0.000000,34607.420498,113.986361,0.000000,0
2025-02-09,98565.177000,98565.177000,83438.451837,0.000000,20190.028789,16353.923319,46.930400,10800.000000,10800.000000,63149.008443,0.000000,0.000000,63149.008443,42.762387,0.000000,0
2025-02-10,94247.867133,94247.867133,78521.786555,0.000000,19143.137829,15505.941641,557.952785,10800.000000,10800.000000,59867.736599,0.000000,0.000000,59867.736599,47.634614,0.000000,0
2025-02-11,95163.713305,95163.713305,79504.959893,0.000000,20696.486283,16764.153889,352.030366,10800.000000,10800.000000,60805.270231,0.000000,0.000000,60805.270231,50.770848,0.000000,0
2025-02-12,95321.329187,95321.329187,79429.873292,0.000000,19745.918986,15994.194379,411.412551,10800.000000,10800.000000,60746.826261,0.000000,0.000000,60746.826261,48.530166,0.000000,0
2025-02-13,90277.409654,90277.409654,75633.760685,0.000000,18800.004573,15228.003704,732.280800,10800.000000,10800.000000,56768.051626,0.000000,0.000000,56768.051626,43.483694,0.000000,0
2025-02-14,62387.370862,62387.370862,41906.045004,0.000000,12150.189425,9841.653434,9795.707196,10800.000000,10800.000000,35510.063378,0.000000,0.000000,35510.063378,137.837946,0.000000,0
2025-02-15,63884.034571,63884.034571,40881.255960,0.000000,14114.409578,11432.671758,8919.427042,10800.000000,10800.000000,36025.341017,0.000000,0.000000,36025.341017,149.405393,0.000000,0
2025-02-16,96234.151787,96234.151787,79300.223228,0.000000,19743.060141,15991.878715,171.662701,10800.000000,10800.000000,61140.231350,0.000000,0.000000,61140.231350,52.646045,0.000000,0
2025-02-17,95968.289231,95968.289231,75564.548877,0.000000,17421.261894,14111.222134,1070.645949,10800.000000,10800.000000,60455.509730,0.000000,0.000000,60455.509730,82.519391,0.000000,0
2025-02-18,86712.137944,86712.137944,76315.601099,0.000000,19369.235738,15689.080948,544.058527,10800.000000,10800.000000,54473.199445,0.000000,0.000000,54473.199445,41.018767,0.000000,0
