date,interval_index,interval_start,interval_end,price_yuan_per_kwh,actual_net_load_kwh,forecast_center_kwh,forecast_risk_kwh,original_plan_kwh,accepted_plan_kwh,used_plan_kwh,emergency_kwh,charge_kwh,discharge_kwh,curtail_kwh,storage_kwh
2025-02-01,1,00:00,00:10,0.328100,422.030367,499.958491,628.132214,628.132214,628.132214,628.132214,0.000000,206.101847,0.000000,0.000000,6185.491662
2025-02-01,2,00:10,00:20,0.325700,415.407317,504.514384,630.001446,963.334779,963.334779,963.334779,0.000000,547.927463,0.000000,0.000000,6678.626379
2025-02-01,3,00:20,00:30,0.304100,410.716667,509.994250,631.733272,1465.066605,1465.066605,1244.050000,0.000000,833.333333,0.000000,0.000000,7428.626379
2025-02-01,4,00:30,00:40,0.312600,430.294800,505.856670,631.193481,1464.526814,1464.526814,1263.628133,0.000000,833.333333,0.000000,0.000000,8178.626379
2025-02-01,5,00:40,00:50,0.328600,424.410583,510.958430,639.112380,639.112380,639.112380,639.112380,0.000000,214.701796,0.000000,0.000000,8371.857995
2025-02-01,6,00:50,01:00,0.343800,406.051667,518.118750,649.670907,649.670907,649.670907,649.670907,0.000000,243.619241,0.000000,0.000000,8591.115312
2025-02-01,7,01:00,01:10,0.370400,436.750183,535.724345,661.757468,661.757468,661.757468,661.757468,0.000000,225.007285,0.000000,0.000000,8793.621868
2025-02-01,8,01:10,01:20,0.374600,451.797683,541.084620,664.210672,664.210672,664.210672,664.210672,0.000000,212.412989,0.000000,0.000000,8984.793559
2025-02-01,9,01:20,01:30,0.360600,446.080000,522.841167,658.482727,658.482727,658.482727,658.482727,0.000000,212.402727,0.000000,0.000000,9175.956012
2025-02-01,10,01:30,01:40,0.358200,471.766333,536.647667,660.671035,660.671035,660.671035,660.671035,0.000000,188.904702,0.000000,0.000000,9345.970244
2025-02-01,11,01:40,01:50,0.304100,448.025967,546.125622,662.011309,1495.344643,1495.344643,1281.359300,0.000000,833.333333,0.000000,0.000000,10095.970244
