date,plan_energy_kwh,accepted_plan_energy_kwh,used_plan_energy_kwh,emergency_energy_kwh,charge_energy_kwh,discharge_energy_kwh,curtail_energy_kwh,storage_start_kwh,storage_end_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,forecast_mae_kwh,max_balance_residual_kwh,gate_count
2025-02-01,67733.184926,67733.184926,48414.754651,0.000000,18038.082744,10893.069690,6891.565663,6000.000000,10130.863704,32201.224508,0.000000,0.000000,32201.224508,142.309323,0.000000,0
2025-02-02,97637.646399,97637.646399,83236.758625,0.000000,21763.976430,17026.598242,143.102483,10130.863704,10800.000000,68866.624493,0.000000,0.000000,68866.624493,43.343726,0.000000,0
2025-02-03,99830.100618,99830.100618,84165.352446,0.000000,20781.241830,16832.805883,0.000000,10800.000000,10800.000000,72107.265715,0.000000,0.000000,72107.265715,48.918299,0.000000,0
2025-02-04,102370.214703,102370.214703,85403.036785,0.000000,21809.655970,17665.821336,64.338200,10800.000000,10800.000000,74493.641313,0.000000,0.000000,74493.641313,55.693697,0.000000,0
2025-02-05,97447.937924,97447.937924,85088.698803,0.000000,22832.733265,18494.513944,2.052500,10800.000000,10800.000000,69863.339106,0.000000,0.000000,69863.339106,32.343175,0.000000,0
2025-02-06,102799.263079,102799.263079,84197.698152,0.000000,20659.158527,16733.918407,1.400817,10800.000000,10800.000000,74491.060144,0.000000,0.000000,74491.060144,66.983675,0.000000,0
2025-02-07,69470.785347,69470.785347,44416.111495,0.000000,16005.752431,12964.659469,9569.338866,10800.000000,10800.000000,32523.421777,0.000000,0.000000,32523.421777,168.168034,0.000000,0
2025-02-08,61129.342356,61129.342356,41949.068494,0.000000,14971.072954,12126.569092,7527.401916,10800.000000,10800.000000,27976.656607,0.000000,0.000000,27976.656607,113.986361,0.000000,0
2025-02-09,98392.798188,98392.798188,83326.548840,0.000000,19601.065646,15876.863173,46.930400,10800.000000,10800.000000,70335.683739,0.000000,0.000000,70335.683739,42.762387,0.000000,0
2025-02-10,94165.845407,94165.845407,78972.542578,0.000000,20035.939540,16229.111027,839.076483,10800.000000,10800.000000,64800.283847,0.000000,0.000000,64800.283847,47.634614,0.000000,0
2025-02-11,95196.300239,95196.300239,79467.044938,0.000000,20940.241654,16961.595740,267.801890,10800.000000,10800.000000,66250.654276,0.000000,0.000000,66250.654276,50.770848,0.000000,0
2025-02-12,95248.297597,95248.297597,79478.427540,0.000000,19842.515984,16072.437947,441.613370,10800.000000,10800.000000,66143.162167,0.000000,0.000000,66143.162167,48.530166,0.000000,0
2025-02-13,90534.162714,90534.162714,75945.923389,0.000000,20540.156433,16637.526711,713.814650,10800.000000,10800.000000,60987.152155,0.000000,0.000000,60987.152155,43.483694,0.000000,0
2025-02-14,62387.370862,62387.370862,42194.082647,0.000000,12839.465073,10399.966709,9952.782467,10800.000000,10800.000000,28844.320188,0.000000,0.000000,28844.320188,137.837946,0.000000,0
2025-02-15,64015.166519,64015.166519,40993.052460,0.000000,14702.812206,11909.277887,8919.427042,10800.000000,10800.000000,29500.323783,0.000000,0.000000,29500.323783,149.405393,0.000000,0
2025-02-16,96144.915237,96144.915237,79245.949257,0.000000,19457.407661,15760.500205,171.662701,10800.000000,10800.000000,67093.148795,0.000000,0.000000,67093.148795,52.646045,0.000000,0
2025-02-17,96080.192988,96080.192988,76115.314360,0.000000,19358.711805,15680.556562,1253.295949,10800.000000,10800.000000,65884.638202,0.000000,0.000000,65884.638202,82.519391,0.000000,0
2025-02-18,86924.499764,86924.499764,76751.928193,0.000000,21127.650498,17113.396904,646.286817,10800.000000,10800.000000,58243.484319,0.000000,0.000000,58243.484319,41.018767,0.000000,0
2025-02-19,87908.743152,87908.743152,77795.935448,9.535173,23256.458090,18837.731053,507.416201,10800.000000,10800.000000,58758.440043,0.000000,51.718778,58810.158820,25.298642,0.000000,0
2025-02-20,90617.654500,90617.654500,75858.034183,0.000000,19559.407445,15843.120030,1148.613034,10800.000000,10800.000000,61308.280571,0.000000,0.000000,61308.280571,48.704400,0.000000,0
2025-02-21,58847.632401,58847.632401,40116.367931,0.000000,13293.637562,10767.846425,12030.314762,10800.000000,10800.000000,26631.785130,0.000000,0.000000,26631.785130,139.885985,0.000000,0
2025-02-22,61057.007571,61057.007571,40124.571726,0.000000,16240.465485,13154.777043,9194.120399,10800.000000,10800.000000,27345.950163,0.000000,0.000000,27345.950163,134.465352,0.000000,0
2025-02-23,89500.953226,89500.953226,76035.160980,0.000000,21131.518940,17116.530341,488.318700,10800.000000,10800.000000,60094.691835,0.000000,0.000000,60094.691835,40.483951,0.000000,0
2025-02-24,86408.727024,86408.727024,73870.354665,0.000000,20909.048770,16936.329504,1694.601783,10800.000000,10800.000000,57901.066578,0.000000,0.000000,57901.066578,52.562261,0.000000,0
2025-02-25,88441.970335,88441.970335,72331.914756,0.000000,18404.103456,14907.323799,3013.811867,10800.000000,10800.000000,58324.577544,0.000000,0.000000,58324.577544,69.825694,0.000000,0
2025-02-26,82121.828583,82121.828583,73666.878319,0.000000,21377.565987,17315.828449,790.292749,10800.000000,10800.000000,53752.271030,0.000000,0.000000,53752.271030,29.163472,0.000000,0
2025-02-27,83588.371158,83588.371158,72590.091241,0.000000,21868.878435,17713.791532,1478.420140,10800.000000,10800.000000,53699.172338,0.000000,0.000000,53699.172338,31.737275,0.000000,0
2025-02-28,53908.615403,53908.615403,37328.724182,0.000000,15322.481866,12411.210311,11124.859079,10800.000000,10800.000000,23443.702892,0.000000,0.000000,23443.702892,119.959252,0.000000,0
2025-03-01,64461.420109,64461.420109,38914.932069,0.000000,13873.693315,11237.691585,12620.164406,10800.000000,10800.000000,28354.497917,0.000000,0.000000,28354.497917,188.371479,0.000000,0
2025-03-02,92151.368642,92151.368642,76552.557186,0.000000,21896.238009,17735.952787,33.964900,10800.000000,10800.000000,61829.062797,0.000000,0.000000,61829.062797,46.097625,0.000000,0
2025-03-03,94243.282734,94243.282734,76776.817079,0.000000,20655.235569,16730.740811,835.175690,10800.000000,10800.000000,63323.897383,0.000000,0.000000,63323.897383,73.867195,0.000000,0
2025-03-04,84845.126012,84845.126012,74189.098084,0.000000,20580.269028,16670.017913,1079.389034,10800.000000,10800.000000,55833.711794,0.000000,0.000000,55833.711794,39.322554,0.000000,0
2025-03-05,88543.758066,88543.758066,70935.917063,0.000000,18853.988313,15271.730534,1223.187266,10800.000000,10800.000000,57537.089651,0.000000,0.000000,57537.089651,66.064529,0.000000,0
2025-03-06,83845.114343,83845.114343,70904.541509,0.000000,19617.531983,15890.200907,1236.556299,10800.000000,10800.000000,54054.938065,0.000000,0.000000,54054.938065,36.802283,0.000000,0
2025-03-07,59358.918150,59358.918150,36219.466572,0.000000,13640.633924,11048.913478,12705.460594,10800.000000,10800.000000,25070.224977,0.000000,0.000000,25070.224977,173.785868,0.000000,0
2025-03-08,53056.733755,53056.733755,36223.361020,0.000000,15326.446219,12414.421437,14248.196723,10800.000000,10800.000000,22664.060085,0.000000,0.000000,22664.060085,142.892470,0.000000,0
2025-03-09,87201.613319,87201.613319,69992.379860,0.000000,19529.186632,15818.641172,2948.309350,10800.000000,10800.000000,55252.663449,0.000000,0.000000,55252.663449,75.691917,0.000000,0
2025-03-10,83980.513472,83980.513472,72356.905340,0.000000,20395.941005,16520.712214,439.605099,10800.000000,10800.000000,54997.880199,0.000000,0.000000,54997.880199,35.393537,0.000000,0
2025-03-11,75304.628138,76622.246509,68594.420110,0.000000,21197.223674,17671.230464,1129.508101,10800.000000,10242.800790,47593.189305,4768.478469,0.000000,52361.667774,48.727340,0.000000,2
