date,interval_index,interval_start,interval_end,price_yuan_per_kwh,actual_net_load_kwh,forecast_center_kwh,forecast_risk_kwh,original_plan_kwh,accepted_plan_kwh,used_plan_kwh,emergency_kwh,charge_kwh,discharge_kwh,curtail_kwh,storage_kwh
2025-02-01,1,00:00,00:10,0.3281,422.0303667,470.1050235397209,508.98136902443105,508.1954318397209,508.1954318397209,422.0303667,0.0,0.0,0.0,0.0,6000.0
2025-02-01,2,00:10,00:20,0.3257,415.4073167,473.5392550895227,507.76301924452264,856.7166550228561,856.7166550228561,748.7406500333334,0.0,333.3333333333333,0.0,0.0,6300.0
2025-02-01,3,00:20,00:30,0.3041,410.7166667,481.804887275623,512.2969005273687,1345.630233860702,1345.630233860702,1244.0500000333332,0.0,833.3333333333333,0.0,0.0,7050.0
2025-02-01,4,00:30,00:40,0.3126,430.2948,474.9558248234597,509.3984522870894,1337.8617127933633,1337.8617127933633,1263.6281333333332,0.0,833.3333333333333,0.0,0.0,7800.0
2025-02-01,5,00:40,00:50,0.3286,424.4105833,485.0300099965774,510.85219395471296,509.0277035295511,509.0277035295511,424.4105833,0.0,0.0,0.0,0.0,7800.0
2025-02-01,6,00:50,01:00,0.3438,406.0516667,489.67179703191596,537.3551808254584,499.37886148235293,499.37886148235293,406.0516667,0.0,0.0,0.0,0.0,7800.0
2025-02-01,7,01:00,01:10,0.3704,436.7501833,509.12908487273893,541.998023784956,520.1623972454497,520.1623972454497,436.7501833,0.0,0.0,0.0,0.0,7800.0
2025-02-01,8,01:10,01:20,0.3746,451.7976833,511.7536696940453,543.1420534318863,529.682559863764,529.682559863764,451.7976833,0.0,0.0,0.0,0.0,7800.0
2025-02-01,9,01:20,01:30,0.3606,446.08,492.3229185348099,554.1704928071885,554.1704928071885,554.1704928071885,446.08,0.0,0.0,0.0,0.0,7800.0
2025-02-01,10,01:30,01:40,0.3582,471.7663333,509.8827336784469,560.1225378709469,568.3705670284469,568.3705670284469,471.7663333,0.0,0.0,0.0,0.0,7800.0
