model,date,lower_coverage,interval_coverage,average_band_width_kwh,calibration_days
Q2,2025-02-01,0.8541666666666666,0.8541666666666666,224.12848951819623,12
Q2,2025-02-02,1.0,0.9930555555555556,229.26655722295033,13
Q2,2025-02-03,1.0,1.0,227.9488622850473,13
Q2,2025-02-04,1.0,0.9861111111111112,227.9488622850473,14
Q2,2025-02-05,1.0,0.9930555555555556,224.80472183089796,14
Q2,2025-02-06,1.0,1.0,224.83366039510517,15
Q2,2025-02-07,0.7361111111111112,0.7361111111111112,224.05488690977097,15
Q2,2025-02-08,0.7638888888888888,0.7638888888888888,249.69834611017808,16
Q2,2025-02-09,0.9930555555555556,0.9930555555555556,263.73363098275524,16
Q2,2025-02-10,0.9930555555555556,0.9861111111111112,263.78616375641616,17
Q2,2025-02-11,1.0,0.9930555555555556,260.42046230379026,17
Q2,2025-02-12,1.0,1.0,260.4522062918421,18
Q2,2025-02-13,0.9861111111111112,0.9861111111111112,257.95532288719113,18
Q2,2025-02-14,0.5555555555555556,0.5555555555555556,213.86535167852892,19
Q2,2025-02-15,0.6597222222222222,0.6597222222222222,233.56712008189274,19
Q2,2025-02-16,1.0,0.9791666666666666,244.8986594055976,20
Q2,2025-02-17,1.0,0.9791666666666666,244.38438643112062,20
Q2,2025-02-18,0.9930555555555556,0.9930555555555556,244.53996515526998,21
Q2,2025-02-19,0.9930555555555556,0.9722222222222222,244.48196851898098,21
Q2,2025-02-20,1.0,0.9861111111111112,244.6490458128122,22
Q2,2025-02-21,0.3680555555555556,0.3680555555555556,243.62411562295665,22
Q2,2025-02-22,0.6527777777777778,0.6527777777777778,262.95867491008653,23
Q2,2025-02-23,1.0,0.9930555555555556,272.41923997253224,23
Q2,2025-02-24,1.0,1.0,272.51213798238183,24
Q2,2025-02-25,0.9930555555555556,0.9861111111111112,271.5961108888519,24
Q2,2025-02-26,1.0,0.9861111111111112,271.6856394148524,25
Q2,2025-02-27,0.9791666666666666,0.9791666666666666,267.9107369239903,25
Q2,2025-02-28,0.4861111111111111,0.4861111111111111,267.9163455848942,26
Q2,2025-03-01,0.5763888888888888,0.5763888888888888,284.58694092655315,26
Q2,2025-03-02,1.0,0.9583333333333334,296.1135031911729,27
Q2,2025-03-03,1.0,0.9652777777777778,298.0596167294969,27
Q2,2025-03-04,1.0,0.9791666666666666,298.95139185392435,28
Q2,2025-03-05,1.0,1.0,300.0384646463589,28
Q2,2025-03-06,1.0,1.0,298.31282782891,28
Q2,2025-03-07,0.5208333333333334,0.5208333333333334,296.73748084869857,28
Q2,2025-03-08,0.6736111111111112,0.6736111111111112,313.7261249182333,28
Q2,2025-03-09,0.9722222222222222,0.9652777777777778,319.53636338710606,28
Q2,2025-03-10,1.0,0.9861111111111112,318.9439913696844,28
Q2,2025-03-11,1.0,0.9930555555555556,318.0228755646922,28
Q2,2025-03-12,1.0,1.0,316.54023459842807,28
Q2,2025-03-13,1.0,0.9444444444444444,314.1903404711619,28
Q2,2025-03-14,0.6527777777777778,0.6527777777777778,312.9220600254098,28
Q2,2025-03-15,0.9097222222222222,0.9097222222222222,315.8138035740199,28
Q2,2025-03-16,1.0,0.9861111111111112,310.2104988170742,28
Q2,2025-03-17,1.0,0.9861111111111112,309.6971204676114,28
Q2,2025-03-18,1.0,0.9930555555555556,307.71543950118183,28
Q2,2025-03-19,1.0,1.0,306.483744022541,28
Q2,2025-03-20,1.0,0.9791666666666666,305.2241909022448,28
Q2,2025-03-21,0.7777777777777778,0.7777777777777778,302.26489897099407,28
Q2,2025-03-22,0.9027777777777778,0.9027777777777778,297.976987292847,28
Q2,2025-03-23,1.0,0.9722222222222222,293.5444607558454,28
Q2,2025-03-24,1.0,0.9791666666666666,293.2697125710923,28
Q2,2025-03-25,1.0,0.9305555555555556,293.17318227958174,28
Q2,2025-03-26,1.0,0.9791666666666666,293.0260117939965,28
Q2,2025-03-27,1.0,0.9444444444444444,292.4001609118757,28
Q2,2025-03-28,0.8888888888888888,0.8888888888888888,292.25434690009524,28
Q2,2025-03-29,0.7986111111111112,0.7986111111111112,290.0808399457069,28
Q2,2025-03-30,1.0,0.9375,294.604574832481,28
Q2,2025-03-31,1.0,0.9305555555555556,287.49722531540385,28
Q2,2025-04-01,1.0,0.8680555555555556,289.23499241149034,28
Q2,2025-04-02,1.0,0.8333333333333334,290.6493410898525,28
Q2,2025-04-03,0.9930555555555556,0.9236111111111112,294.885938998764,28
Q2,2025-04-04,0.8680555555555556,0.8680555555555556,295.213411866894,28
Q2,2025-04-05,0.9930555555555556,0.9930555555555556,298.2342967724583,28
