interval_index,interval_start,interval_end,load_energy_kwh,pv_forecast_energy_kwh,purchase_kwh,charge_kwh,discharge_kwh,curtail_kwh,storage_kwh,price_yuan_per_kwh
1,00:00,00:10,573.3077667,0.0,1406.6411000333333,833.3333333333333,0.0,0.0,6750.0,0.4248
2,00:10,00:20,572.9965333,0.0,1406.3298666333333,833.3333333333333,0.0,0.0,7500.0,0.4245
3,00:20,00:30,574.0505167,0.0,1407.3838500333331,833.3333333333333,0.0,0.0,8250.0,0.4269
4,00:30,00:40,575.7406167,0.0,1409.0739500333334,833.3333333333333,0.0,0.0,9000.0,0.4272
5,00:40,00:50,576.4712167,0.0,1409.8045500333333,833.3333333333333,0.0,0.0,9750.0,0.4271
6,00:50,01:00,576.6400167,0.0,576.6400167,0.0,0.0,0.0,9750.0,0.4285
7,01:00,01:10,577.8597,0.0,577.8597,0.0,0.0,0.0,9750.0,0.4311
8,01:10,01:20,577.9938667,0.0,577.9938667,0.0,0.0,0.0,9750.0,0.4302
9,01:20,01:30,577.82805,0.0,911.1613833333333,333.3333333333333,0.0,0.0,10050.0,0.4279
10,01:30,01:40,580.41545,0.0,580.41545,0.0,0.0,0.0,10050.0,0.4312
11,01:40,01:50,582.5140167,0.0,582.5140167,0.0,0.0,0.0,10050.0,0.4333
12,01:50,02:00,583.07405,0.0,583.07405,0.0,0.0,0.0,10050.0,0.4311
13,02:00,02:10,584.2049167,0.0,584.2049167,0.0,0.0,0.0,10050.0,0.4293
14,02:10,02:20,585.4397833,0.0,585.4397833,0.0,0.0,0.0,10050.0,0.4324
15,02:20,02:30,586.14475,0.0,586.14475,0.0,0.0,0.0,10050.0,0.4367
16,02:30,02:40,586.3207667,0.0,586.3207667,0.0,0.0,0.0,10050.0,0.4348
17,02:40,02:50,586.4253,0.0,586.4253,0.0,0.0,0.0,10050.0,0.4335
18,02:50,03:00,586.8496,0.0,586.8496,0.0,0.0,0.0,10050.0,0.4357
19,03:00,03:10,587.8210167,0.0,587.8210167,0.0,0.0,0.0,10050.0,0.4374
20,03:10,03:20,589.5475667,0.0,589.5475667,0.0,0.0,0.0,10050.0,0.4371
