template,sheet,cell,original_label,canonical_label
result1.xlsx,计划购电量,A2,0:10-0:20,00:00—00:10
result1.xlsx,计划购电量,A3,0:20-0:30,00:10—00:20
result1.xlsx,计划购电量,A4,0:30-0:40,00:20—00:30
result1.xlsx,计划购电量,A5,0:40-0:50,00:30—00:40
result1.xlsx,计划购电量,A6,0:50-1:00,00:40—00:50
result1.xlsx,计划购电量,A7,1:00-1:10,00:50—01:00
result1.xlsx,计划购电量,A8,1:10-1:20,01:00—01:10
result1.xlsx,计划购电量,A9,1:20-1:30,01:10—01:20
result1.xlsx,计划购电量,A10,1:30-1:40,01:20—01:30
result1.xlsx,计划购电量,A11,1:40-1:50,01:30—01:40
result1.xlsx,计划购电量,A12,1:50-2:00,01:40—01:50
result1.xlsx,计划购电量,A13,2:00-2:10,01:50—02:00
result1.xlsx,计划购电量,A14,2:10-2:20,02:00—02:10
result1.xlsx,计划购电量,A15,2:20-2:30,02:10—02:20
result1.xlsx,计划购电量,A16,2:30-2:40,02:20—02:30
result1.xlsx,计划购电量,A17,2:40-2:50,02:30—02:40
result1.xlsx,计划购电量,A18,2:50-3:00,02:40—02:50
result1.xlsx,计划购电量,A19,3:00-3:10,02:50—03:00
result1.xlsx,计划购电量,A20,3:10-3:20,03:00—03:10
result1.xlsx,计划购电量,A21,3:20-3:30,03:10—03:20
result1.xlsx,计划购电量,A22,3:30-3:40,03:20—03:30
result1.xlsx,计划购电量,A23,3:40-3:50,03:30—03:40
result1.xlsx,计划购电量,A24,3:50-4:00,03:40—03:50
result1.xlsx,计划购电量,A25,4:00-4:10,03:50—04:00
result1.xlsx,计划购电量,A26,4:10-4:20,04:00—04:10
result1.xlsx,计划购电量,A27,4:20-4:30,04:10—04:20
result1.xlsx,计划购电量,A28,4:30-4:40,04:20—04:30
result1.xlsx,计划购电量,A29,4:40-4:50,04:30—04:40
result1.xlsx,计划购电量,A30,4:50-5:00,04:40—04:50
result1.xlsx,计划购电量,A31,5:00-5:10,04:50—05:00
result1.xlsx,计划购电量,A32,5:10-5:20,05:00—05:10
result1.xlsx,计划购电量,A33,5:20-5:30,05:10—05:20
result1.xlsx,计划购电量,A34,5:30-5:40,05:20—05:30
result1.xlsx,计划购电量,A35,5:40-5:50,05:30—05:40
result1.xlsx,计划购电量,A36,5:50-6:00,05:40—05:50
result1.xlsx,计划购电量,A37,6:00-6:10,05:50—06:00
result1.xlsx,计划购电量,A38,6:10-6:20,06:00—06:10
result1.xlsx,计划购电量,A39,6:20-6:30,06:10—06:20
