model,date,lower_coverage,interval_coverage,average_band_width_kwh,calibration_days
Q2,2025-02-01,0.8541666666666666,0.8541666666666666,224.12848951819623,12
Q2,2025-02-02,1.0,0.9930555555555556,229.26655722295033,13
Q3,2025-02-01,0.9444444444444444,0.9444444444444444,264.2460019854222,12
Q3,2025-02-02,1.0,0.9930555555555556,265.89450217107986,13
Q4-2,2025-02-01,0.8541666666666666,0.8541666666666666,224.12848951819623,12
Q4-2,2025-02-02,1.0,0.9930555555555556,229.26655722295033,13
Q4-3,2025-02-01,0.9444444444444444,0.9444444444444444,264.2460019854222,12
Q4-3,2025-02-02,1.0,0.9930555555555556,265.89450217107986,13
Q3-no-update,2025-02-01,0.9444444444444444,0.9444444444444444,264.2460019854222,12
Q3-no-update,2025-02-02,1.0,0.9930555555555556,265.89450217107986,13
Q4-3-no-update,2025-02-01,0.9444444444444444,0.9444444444444444,264.2460019854222,12
Q4-3-no-update,2025-02-02,1.0,0.9930555555555556,265.89450217107986,13
