date,interval_index,interval_start,interval_end,actual_net_load_kwh,original_plan_kwh,used_plan_kwh,emergency_kwh,curtail_kwh,charge_kwh,discharge_kwh,storage_start_kwh,storage_kwh
2025-01-01,1,00:00,00:10,588.2882667,0.0,0.0,588.2882667,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,2,00:10,00:20,601.5881167,0.0,0.0,601.5881167,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,3,00:20,00:30,621.0933333,0.0,0.0,621.0933333,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,4,00:30,00:40,585.1051833,0.0,0.0,585.1051833,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,5,00:40,00:50,583.7604167,0.0,0.0,583.7604167,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,6,00:50,01:00,631.1683333,0.0,0.0,631.1683333,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,7,01:00,01:10,650.0534167,0.0,0.0,650.0534167,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,8,01:10,01:20,652.8062667,0.0,0.0,652.8062667,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,9,01:20,01:30,636.2133333,0.0,0.0,636.2133333,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,10,01:30,01:40,588.8356,0.0,0.0,588.8356,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,11,01:40,01:50,615.7768833,0.0,0.0,615.7768833,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,12,01:50,02:00,677.455,0.0,0.0,677.455,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,13,02:00,02:10,635.1118333,0.0,0.0,635.1118333,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,14,02:10,02:20,640.8249167,0.0,0.0,640.8249167,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,15,02:20,02:30,705.77,0.0,0.0,705.77,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,16,02:30,02:40,684.9959167,0.0,0.0,684.9959167,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,17,02:40,02:50,666.1490833,0.0,0.0,666.1490833,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,18,02:50,03:00,683.6983333,0.0,0.0,683.6983333,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,19,03:00,03:10,681.0096167,0.0,0.0,681.0096167,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,20,03:10,03:20,688.9604333,0.0,0.0,688.9604333,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,21,03:20,03:30,696.53,0.0,0.0,696.53,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,22,03:30,03:40,658.8951833,0.0,0.0,658.8951833,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,23,03:40,03:50,651.7916,0.0,0.0,651.7916,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,24,03:50,04:00,683.2183333,0.0,0.0,683.2183333,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,25,04:00,04:10,687.3103833,0.0,0.0,687.3103833,0.0,0.0,0.0,6000.0,6000.0
2025-01-01,26,04:10,04:20,694.8344667,0.0,0.0,694.8344667,0.0,0.0,0.0,6000.0,6000.0
