model,date,release_time,kind,objective_yuan,residual,milp,mip_gap,latest_source_date,scenario_count
Q2,2025-02-01,00:00,selected,43873.96424040233,2.1827872842550278e-11,False,0.0,2025-01-30,8
Q2,2025-02-02,00:00,selected,74572.18439491518,1.4551915228366852e-11,False,0.0,2025-02-01,8
Q3,2025-02-01,00:00,selected,42359.551136152375,2.1827872842550278e-11,False,0.0,2025-01-31,8
Q3,2025-02-01,06:00,keep,29289.959598180656,2.2737367544323206e-13,False,0.0,2025-01-28,8
Q3,2025-02-01,06:00,selected,29289.959598180656,2.2737367544323206e-13,False,0.0,2025-01-28,8
Q3,2025-02-01,12:00,keep,23778.731627371435,9.094947017729282e-13,False,0.0,2025-01-31,8
Q3,2025-02-01,12:00,selected,23778.731627371435,9.094947017729282e-13,False,0.0,2025-01-31,8
Q3,2025-02-01,18:00,keep,12891.927039070637,1.5916157281026244e-12,False,0.0,2025-01-27,8
Q3,2025-02-01,18:00,selected,12891.927039070637,1.5916157281026244e-12,False,0.0,2025-01-27,8
Q3,2025-02-02,00:00,selected,76312.08030505017,1.4551915228366852e-11,False,0.0,2025-02-01,8
Q3,2025-02-02,06:00,keep,60738.45912951867,1.4551915228366852e-11,False,0.0,2025-01-28,8
Q3,2025-02-02,06:00,selected,60738.45912951867,1.4551915228366852e-11,False,0.0,2025-01-28,8
Q3,2025-02-02,12:00,keep,43492.95014120217,9.265477274311706e-12,False,0.0,2025-01-29,8
Q3,2025-02-02,12:00,selected,43492.95014120217,9.265477274311706e-12,False,0.0,2025-01-29,8
Q3,2025-02-02,18:00,keep,18036.589232707058,1.8189894035458565e-12,False,0.0,2025-01-27,8
Q3,2025-02-02,18:00,selected,18036.589232707058,1.8189894035458565e-12,False,0.0,2025-01-27,8
Q4-2,2025-02-01,00:00,selected,36099.31534602224,1.8189894035458565e-11,False,0.0,2025-01-30,8
Q4-2,2025-02-02,00:00,selected,82053.40916830805,4.3655745685100555e-11,False,0.0,2025-02-01,8
Q4-3,2025-02-01,00:00,selected,34876.21131743097,1.0913936421275139e-11,False,0.0,2025-01-31,8
Q4-3,2025-02-01,06:00,keep,24269.342703295228,9.094947017729282e-13,False,0.0,2025-01-28,8
Q4-3,2025-02-01,06:00,selected,24269.342703295228,9.094947017729282e-13,False,0.0,2025-01-28,8
Q4-3,2025-02-01,12:00,keep,18595.480369410663,9.094947017729282e-13,False,0.0,2025-01-31,8
Q4-3,2025-02-01,12:00,selected,18595.480369410663,9.094947017729282e-13,False,0.0,2025-01-31,8
Q4-3,2025-02-01,18:00,keep,9780.051423271034,3.410605131648481e-12,False,0.0,2025-01-27,8
Q4-3,2025-02-01,18:00,selected,9780.051423271034,3.410605131648481e-12,False,0.0,2025-01-27,8
Q4-3,2025-02-02,00:00,selected,84028.16149618701,3.0951241569709964e-11,False,0.0,2025-02-01,8
Q4-3,2025-02-02,06:00,keep,67855.5420093794,9.094947017729282e-13,False,0.0,2025-01-28,8
Q4-3,2025-02-02,06:00,selected,67855.5420093794,9.094947017729282e-13,False,0.0,2025-01-28,8
Q4-3,2025-02-02,12:00,keep,46827.69511205771,1.2278178473934531e-11,False,0.0,2025-01-29,8
Q4-3,2025-02-02,12:00,selected,46827.69511205771,1.2278178473934531e-11,False,0.0,2025-01-29,8
Q4-3,2025-02-02,18:00,keep,18642.193349993067,3.183231456205249e-12,False,0.0,2025-01-27,8
Q4-3,2025-02-02,18:00,selected,18642.193349993067,3.183231456205249e-12,False,0.0,2025-01-27,8
Q3-no-update,2025-02-01,00:00,selected,42359.551136152375,2.1827872842550278e-11,False,0.0,2025-01-31,8
Q3-no-update,2025-02-02,00:00,selected,76312.08030505017,1.4551915228366852e-11,False,0.0,2025-02-01,8
Q4-3-no-update,2025-02-01,00:00,selected,34876.21131743097,1.0913936421275139e-11,False,0.0,2025-01-31,8
Q4-3-no-update,2025-02-02,00:00,selected,84028.16149618701,3.0951241569709964e-11,False,0.0,2025-02-01,8
